Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
M5N 24xlarge,m5n.24xlarge,,General purpose,,384 GiB,,96 vCPUs,3.1 GHz,EBS only,100 Gigabit,$5.712 hourly,$3.599 hourly,$2.1434 hourly,$0.27 hourly
M5N Double Extra Large,m5n.2xlarge,,General purpose,,32 GiB,,8 vCPUs,3.1 GHz,EBS only,Up to 25 Gigabit,$0.476 hourly,$0.30 hourly,$0.2215 hourly,$0.119 hourly
M5N Quadruple Extra Large,m5n.4xlarge,,General purpose,,64 GiB,,16 vCPUs,3.1 GHz,EBS only,Up to 25 Gigabit,$0.952 hourly,$0.60 hourly,$0.3506 hourly,$0.238 hourly
M5N Eight Extra Large,m5n.8xlarge,,General purpose,,128 GiB,,32 vCPUs,3.1 GHz,EBS only,25 Gigabit,$1.904 hourly,$1.20 hourly,$1.0457 hourly,$0.27 hourly
M5N Large,m5n.large,,General purpose,,8 GiB,,2 vCPUs,3.1 GHz,EBS only,Up to 25 Gigabit,$0.119 hourly,$0.075 hourly,$0.0461 hourly,
M5N Metal,m5n.metal,,General purpose,,384 GiB,,96 vCPUs,3.1 GHz,EBS only,100 Gigabit,$5.712 hourly,$3.599 hourly,$1.488 hourly,
M5N Extra Large,m5n.xlarge,,General purpose,,16 GiB,,4 vCPUs,3.1 GHz,EBS only,Up to 25 Gigabit,$0.238 hourly,$0.15 hourly,$0.1061 hourly,$0.0595 hourly
M8AZN 12xlarge Extra Large,m8azn.12xlarge,,General purpose,,192 GiB,,48 vCPUs,Up to 5 GHz,EBS only,100 Gigabit,$4.955 hourly,,$1.7302 hourly,
M8AZN 24xlarge,m8azn.24xlarge,,General purpose,,384 GiB,,96 vCPUs,Up to 5 GHz,EBS only,200 Gigabit,$9.9101 hourly,,$2.3564 hourly,
M8AZN 3xlarge,m8azn.3xlarge,,General purpose,,48 GiB,,12 vCPUs,Up to 5 GHz,EBS only,Up to 50 Gigabit,$1.2388 hourly,,$0.5377 hourly,
M8AZN 6xlarge,m8azn.6xlarge,,General purpose,,96 GiB,,24 vCPUs,Up to 5 GHz,EBS only,50 Gigabit,$2.4775 hourly,,$0.9228 hourly,
M8AZN Large,m8azn.large,,General purpose,,8 GiB,,2 vCPUs,Up to 5 GHz,EBS only,Up to 30 Gigabit,$0.2065 hourly,,$0.0531 hourly,
M8AZN Medium,m8azn.medium,,General purpose,,4 GiB,,1 vCPUs,Up to 5 GHz,EBS only,Up to 25 Gigabit,$0.1032 hourly,,$0.0314 hourly,
M8AZN Metal-12xl,m8azn.metal-12xl,,General purpose,,192 GiB,,48 vCPUs,Up to 5 GHz,EBS only,100 Gigabit,$4.955 hourly,,$1.364 hourly,
M8AZN Metal-24xl,m8azn.metal-24xl,,General purpose,,384 GiB,,96 vCPUs,Up to 5 GHz,EBS only,200 Gigabit,$9.9101 hourly,,$1.8593 hourly,
M8AZN Extra Large,m8azn.xlarge,,General purpose,,16 GiB,,4 vCPUs,Up to 5 GHz,EBS only,Up to 40 Gigabit,$0.4129 hourly,,$0.1403 hourly,
M8GB Metal-24xl,m8gb.metal-24xl,,General purpose,,384 GiB,,96 vCPUs,2.8 GHz,EBS only,200 Gigabit,$13.968 hourly,,$2.1799 hourly,
M8GB Metal-48xl,m8gb.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,2.8 GHz,EBS only,400 Gigabit,$13.968 hourly,,$3.0529 hourly,
M8GD 12xlarge Extra Large,m8gd.12xlarge,,General purpose,,192 GiB,,48 vCPUs,2.7 GHz,2850 GB (3×950 GB NVMe SSD),22.5 Gigabit,$2.7677 hourly,,$0.8828 hourly,
M8GD 16xlarge Extra Large,m8gd.16xlarge,,General purpose,,256 GiB,,64 vCPUs,2.7 GHz,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$3.6902 hourly,,$1.0834 hourly,
M8GD 24xlarge,m8gd.24xlarge,,General purpose,,384 GiB,,96 vCPUs,2.7 GHz,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$5.5354 hourly,,$1.6359 hourly,
M8GD Double Extra Large,m8gd.2xlarge,,General purpose,,32 GiB,,8 vCPUs,2.7 GHz,474 GB NVMe SSD,Up to 15 Gigabit,$0.4613 hourly,,$0.1693 hourly,
M8GD 48xlarge,m8gd.48xlarge,,General purpose,,768 GiB,,192 vCPUs,2.7 GHz,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$11.0707 hourly,,$4.3761 hourly,
M8GD Quadruple Extra Large,m8gd.4xlarge,,General purpose,,64 GiB,,16 vCPUs,2.7 GHz,950 GB NVMe SSD,Up to 15 Gigabit,$0.9226 hourly,,$0.3456 hourly,
M8GD Eight Extra Large,m8gd.8xlarge,,General purpose,,128 GiB,,32 vCPUs,2.7 GHz,1900 GB NVMe SSD,15 Gigabit,$1.8451 hourly,,$0.6378 hourly,
M8GD Large,m8gd.large,,General purpose,,8 GiB,,2 vCPUs,2.7 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1153 hourly,,$0.0477 hourly,
M8GD Medium,m8gd.medium,,General purpose,,4 GiB,,1 vCPUs,2.7 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0577 hourly,,$0.0143 hourly,
M8GD Metal-24xl,m8gd.metal-24xl,,General purpose,,384 GiB,,96 vCPUs,2.7 GHz,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$5.5354 hourly,,$1.6179 hourly,
M8GD Metal-48xl,m8gd.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,2.7 GHz,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$11.0707 hourly,,$2.8474 hourly,
M8GD Extra Large,m8gd.xlarge,,General purpose,,16 GiB,,4 vCPUs,2.7 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2306 hourly,,$0.0908 hourly,
M8GN Metal-24xl,m8gn.metal-24xl,,General purpose,,384 GiB,,96 vCPUs,2.8 GHz,EBS only,300 Gigabit,$6.984 hourly,,$1.5215 hourly,
M8GN Metal-48xl,m8gn.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,2.8 GHz,EBS only,600 Gigabit,$13.968 hourly,,$2.7964 hourly,
M8IB Metal-48xl,m8ib.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.9 GHz,EBS only,200 Gigabit,$16.0397 hourly,,$7.0478 hourly,
M8IB Metal-96xl,m8ib.metal-96xl,,General purpose,,1536 GiB,,384 vCPUs,3.9 GHz,EBS only,400 Gigabit,$32.0794 hourly,,$10.9314 hourly,
M8ID 12xlarge Extra Large,m8id.12xlarge,,General purpose,,192 GiB,,48 vCPUs,3.9 GHz,2850 GB NVMe SSD,22.5 Gigabit,$3.1325 hourly,,$1.0589 hourly,
M8ID 16xlarge Extra Large,m8id.16xlarge,,General purpose,,256 GiB,,64 vCPUs,3.9 GHz,3800 GB NVMe SSD,30 Gigabit,$4.1766 hourly,,$1.5651 hourly,
M8ID 24xlarge,m8id.24xlarge,,General purpose,,384 GiB,,96 vCPUs,3.9 GHz,5700 GB (2×2850 GB NVMe SSD),40 Gigabit,$6.265 hourly,,$1.7899 hourly,
M8ID Double Extra Large,m8id.2xlarge,,General purpose,,32 GiB,,8 vCPUs,3.9 GHz,474 GB NVMe SSD,Up to 15 Gigabit,$0.5221 hourly,,$0.2718 hourly,
M8ID 32xlarge,m8id.32xlarge,,General purpose,,512 GiB,,128 vCPUs,3.9 GHz,7600 GB (2×3800 GB NVMe SSD),50 Gigabit,$8.3533 hourly,,$2.0785 hourly,
M8ID 48xlarge,m8id.48xlarge,,General purpose,,768 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),75 Gigabit,$12.5299 hourly,,$2.4027 hourly,
M8ID Quadruple Extra Large,m8id.4xlarge,,General purpose,,64 GiB,,16 vCPUs,3.9 GHz,950 GB NVMe SSD,Up to 15 Gigabit,$1.0442 hourly,,$0.478 hourly,
M8ID Eight Extra Large,m8id.8xlarge,,General purpose,,128 GiB,,32 vCPUs,3.9 GHz,1900 GB NVMe SSD,15 Gigabit,$2.0883 hourly,,$0.8107 hourly,
M8ID 96xlarge,m8id.96xlarge,,General purpose,,1536 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),100 Gigabit,$25.0598 hourly,,$4.7173 hourly,
M8ID Large,m8id.large,,General purpose,,8 GiB,,2 vCPUs,3.9 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1305 hourly,,$0.0497 hourly,
M8ID Metal-48xl,m8id.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),75 Gigabit,$12.5299 hourly,,$4.2065 hourly,
M8ID Metal-96xl,m8id.metal-96xl,,General purpose,,1536 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),100 Gigabit,$25.0598 hourly,,$4.1618 hourly,
M8ID Extra Large,m8id.xlarge,,General purpose,,16 GiB,,4 vCPUs,3.9 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.261 hourly,,$0.1591 hourly,
M8IDB Metal-48xl,m8idb.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),200 Gigabit,$18.3302 hourly,,$8.0647 hourly,
M8IDB Metal-96xl,m8idb.metal-96xl,,General purpose,,1536 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),400 Gigabit,$36.6605 hourly,,$15.8723 hourly,
M8IDN Metal-48xl,m8idn.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.9 GHz,11400 GB (3×3800 GB NVMe SSD),300 Gigabit,$18.3302 hourly,,$8.4921 hourly,
M8IDN Metal-96xl,m8idn.metal-96xl,,General purpose,,1536 GiB,,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$36.6605 hourly,,$14.724 hourly,
M8IN Metal-48xl,m8in.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.9 GHz,EBS only,300 Gigabit,$16.0397 hourly,,$7.5489 hourly,
M8IN Metal-96xl,m8in.metal-96xl,,General purpose,,1536 GiB,,384 vCPUs,3.9 GHz,EBS only,600 Gigabit,$32.0794 hourly,,$11.6217 hourly,
M9G 12xlarge Extra Large,m9g.12xlarge,,General purpose,,192 GiB,,48 vCPUs,3.3 GHz,EBS only,25 Gigabit,$2.3482 hourly,,$0.9299 hourly,
M9G 16xlarge Extra Large,m9g.16xlarge,,General purpose,,256 GiB,,64 vCPUs,3.3 GHz,EBS only,34 Gigabit,$3.1309 hourly,,$1.1644 hourly,
M9G 24xlarge,m9g.24xlarge,,General purpose,,384 GiB,,96 vCPUs,3.3 GHz,EBS only,50 Gigabit,$4.6963 hourly,,$1.8776 hourly,
M9G Double Extra Large,m9g.2xlarge,,General purpose,,32 GiB,,8 vCPUs,3.3 GHz,EBS only,Up to 17 Gigabit,$0.3914 hourly,,$0.1701 hourly,
M9G 48xlarge,m9g.48xlarge,,General purpose,,768 GiB,,192 vCPUs,3.3 GHz,EBS only,100 Gigabit,$9.3926 hourly,,$3.8986 hourly,
M9G Quadruple Extra Large,m9g.4xlarge,,General purpose,,64 GiB,,16 vCPUs,3.3 GHz,EBS only,Up to 17 Gigabit,$0.7827 hourly,,$0.3395 hourly,
M9G Eight Extra Large,m9g.8xlarge,,General purpose,,128 GiB,,32 vCPUs,3.3 GHz,EBS only,17 Gigabit,$1.5654 hourly,,$0.6509 hourly,
M9G Large,m9g.large,,General purpose,,8 GiB,,2 vCPUs,3.3 GHz,EBS only,Up to 15 Gigabit,$0.0978 hourly,,$0.0437 hourly,
M9G Medium,m9g.medium,,General purpose,,4 GiB,,1 vCPUs,3.3 GHz,EBS only,Up to 15 Gigabit,$0.0489 hourly,,$0.0194 hourly,
M9G Metal-48xl,m9g.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.3 GHz,EBS only,100 Gigabit,$9.3926 hourly,,$2.9422 hourly,
M9G Extra Large,m9g.xlarge,,General purpose,,16 GiB,,4 vCPUs,3.3 GHz,EBS only,Up to 15 Gigabit,$0.1957 hourly,,$0.0865 hourly,
M9GD 12xlarge Extra Large,m9gd.12xlarge,,General purpose,,192 GiB,,48 vCPUs,3.3 GHz,2850 GB (3×950 GB NVMe SSD),25 Gigabit,$3.0168 hourly,,$1.0431 hourly,
M9GD 16xlarge Extra Large,m9gd.16xlarge,,General purpose,,256 GiB,,64 vCPUs,3.3 GHz,3800 GB NVMe SSD,34 Gigabit,$4.0224 hourly,,$1.3753 hourly,
M9GD 24xlarge,m9gd.24xlarge,,General purpose,,384 GiB,,96 vCPUs,3.3 GHz,5700 GB (3×1900 GB NVMe SSD),50 Gigabit,$6.0336 hourly,,$1.9653 hourly,
M9GD Double Extra Large,m9gd.2xlarge,,General purpose,,32 GiB,,8 vCPUs,3.3 GHz,474 GB NVMe SSD,Up to 17 Gigabit,$0.5028 hourly,,$0.207 hourly,
M9GD 48xlarge,m9gd.48xlarge,,General purpose,,768 GiB,,192 vCPUs,3.3 GHz,11400 GB (3×3800 GB NVMe SSD),100 Gigabit,$12.0672 hourly,,$4.5265 hourly,
M9GD Quadruple Extra Large,m9gd.4xlarge,,General purpose,,64 GiB,,16 vCPUs,3.3 GHz,950 GB NVMe SSD,Up to 17 Gigabit,$1.0056 hourly,,$0.4231 hourly,
M9GD Eight Extra Large,m9gd.8xlarge,,General purpose,,128 GiB,,32 vCPUs,3.3 GHz,1900 GB NVMe SSD,17 Gigabit,$2.0112 hourly,,$0.8421 hourly,
M9GD Large,m9gd.large,,General purpose,,8 GiB,,2 vCPUs,3.3 GHz,118 GB NVMe SSD,Up to 15 Gigabit,$0.1257 hourly,,$0.0523 hourly,
M9GD Medium,m9gd.medium,,General purpose,,4 GiB,,1 vCPUs,3.3 GHz,59 GB NVMe SSD,Up to 15 Gigabit,$0.0629 hourly,,$0.0193 hourly,
M9GD Metal-48xl,m9gd.metal-48xl,,General purpose,,768 GiB,,192 vCPUs,3.3 GHz,11400 GB (3×3800 GB NVMe SSD),100 Gigabit,$12.0672 hourly,,$3.7071 hourly,
M9GD Extra Large,m9gd.xlarge,,General purpose,,16 GiB,,4 vCPUs,3.3 GHz,237 GB NVMe SSD,Up to 15 Gigabit,$0.2514 hourly,,$0.1081 hourly,
R5B 12xlarge Extra Large,r5b.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.1 GHz,EBS only,12 Gigabit,$3.576 hourly,$2.2529 hourly,$1.9135 hourly,$0.27 hourly
R5B 16xlarge Extra Large,r5b.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.1 GHz,EBS only,20 Gigabit,$4.768 hourly,$3.0038 hourly,$2.3936 hourly,$0.27 hourly
R5B 24xlarge,r5b.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,3.1 GHz,EBS only,25 Gigabit,$7.152 hourly,$4.5058 hourly,$4.2532 hourly,$0.27 hourly
R5B Double Extra Large,r5b.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.596 hourly,$0.3755 hourly,$0.3737 hourly,$0.149 hourly
R5B Quadruple Extra Large,r5b.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$1.192 hourly,$0.751 hourly,$0.7338 hourly,$0.27 hourly
R5B Eight Extra Large,r5b.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.1 GHz,EBS only,10 Gigabit,$2.384 hourly,$1.5019 hourly,$1.3193 hourly,$0.27 hourly
R5B Large,r5b.large,,Memory optimized,,16 GiB,,2 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.149 hourly,$0.0939 hourly,$0.052 hourly,
R5B Metal,r5b.metal,,Memory optimized,,768 GiB,,96 vCPUs,3.1 GHz,EBS only,25 Gigabit,$7.152 hourly,$4.5058 hourly,$2.2899 hourly,
R5B Extra Large,r5b.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.1 GHz,EBS only,Up to 10 Gigabit,$0.298 hourly,$0.1877 hourly,$0.1498 hourly,$0.0745 hourly
R5DN 12xlarge Extra Large,r5dn.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.1 GHz,1800 GB (2×900 GB NVMe SSD),50 Gigabit,$4.008 hourly,$2.525 hourly,$1.498 hourly,$0.27 hourly
R5DN 16xlarge Extra Large,r5dn.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.1 GHz,2400 GB (4×600 GB NVMe SSD),75 Gigabit,$5.344 hourly,$3.367 hourly,$1.8157 hourly,$0.27 hourly
R5DN 24xlarge,r5dn.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,3.1 GHz,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$8.016 hourly,$5.05 hourly,$3.0648 hourly,$0.27 hourly
R5DN Double Extra Large,r5dn.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.1 GHz,300 GB NVMe SSD,Up to 25 Gigabit,$0.668 hourly,$0.421 hourly,$0.3334 hourly,$0.167 hourly
R5DN Quadruple Extra Large,r5dn.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.1 GHz,600 GB (2×300 GB NVMe SSD),Up to 25 Gigabit,$1.336 hourly,$0.842 hourly,$0.6512 hourly,$0.27 hourly
R5DN Eight Extra Large,r5dn.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.1 GHz,1200 GB (2×600 GB NVMe SSD),25 Gigabit,$2.672 hourly,$1.683 hourly,$1.4198 hourly,$0.27 hourly
R5DN Large,r5dn.large,,Memory optimized,,16 GiB,,2 vCPUs,3.1 GHz,75 GB NVMe SSD,Up to 25 Gigabit,$0.167 hourly,$0.105 hourly,$0.0477 hourly,
R5DN Metal,r5dn.metal,,Memory optimized,,768 GiB,,96 vCPUs,3.1 GHz,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$8.016 hourly,$5.05 hourly,$2.425 hourly,
R5DN Extra Large,r5dn.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.1 GHz,150 GB NVMe SSD,Up to 25 Gigabit,$0.334 hourly,$0.21 hourly,$0.165 hourly,$0.084 hourly
R6ID 12xlarge Extra Large,r6id.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.5 GHz,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$3.6288 hourly,$2.2806 hourly,$1.7831 hourly,$0.9072 hourly
R6ID 16xlarge Extra Large,r6id.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.5 GHz,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$4.8384 hourly,$3.0408 hourly,$2.0483 hourly,$1.2096 hourly
R6ID 24xlarge,r6id.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,3.5 GHz,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$7.2576 hourly,$4.5612 hourly,$3.7992 hourly,$1.8144 hourly
R6ID Double Extra Large,r6id.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.5 GHz,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.6048 hourly,$0.3801 hourly,$0.2384 hourly,$0.1512 hourly
R6ID 32xlarge,r6id.32xlarge,,Memory optimized,,1024 GiB,,128 vCPUs,3.5 GHz,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.6768 hourly,$6.0816 hourly,$3.1737 hourly,$2.4192 hourly
R6ID Quadruple Extra Large,r6id.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.5 GHz,950 GB NVMe SSD,Up to 12.5 Gigabit,$1.2096 hourly,$0.7602 hourly,$0.5428 hourly,$0.3024 hourly
R6ID Eight Extra Large,r6id.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.5 GHz,1900 GB NVMe SSD,12.5 Gigabit,$2.4192 hourly,$1.5204 hourly,$1.5491 hourly,$0.6048 hourly
R6ID Large,r6id.large,,Memory optimized,,16 GiB,,2 vCPUs,3.5 GHz,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1512 hourly,$0.095 hourly,$0.0499 hourly,
R6ID Metal,r6id.metal,,Memory optimized,,1024 GiB,,128 vCPUs,3.5 GHz,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.6768 hourly,$6.0816 hourly,$2.7027 hourly,
R6ID Extra Large,r6id.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.5 GHz,237 GB NVMe SSD,Up to 12.5 Gigabit,$0.3024 hourly,$0.1901 hourly,$0.1456 hourly,$0.0756 hourly
R6IDN 12xlarge Extra Large,r6idn.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.5 GHz,2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$4.6894 hourly,$2.9543 hourly,$1.6275 hourly,$1.1723 hourly
R6IDN 16xlarge Extra Large,r6idn.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.5 GHz,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$6.2525 hourly,$3.9391 hourly,$1.9248 hourly,$1.5631 hourly
R6IDN 24xlarge,r6idn.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,3.5 GHz,5700 GB (4×1425 GB NVMe SSD),150 Gigabit,$9.3787 hourly,$5.9086 hourly,$3.8162 hourly,$2.3447 hourly
R6IDN Double Extra Large,r6idn.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.5 GHz,474 GB NVMe SSD,Up to 40 Gigabit,$0.7816 hourly,$0.4924 hourly,$0.4172 hourly,$0.1954 hourly
R6IDN 32xlarge,r6idn.32xlarge,,Memory optimized,,1024 GiB,,128 vCPUs,3.5 GHz,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$12.505 hourly,$7.8781 hourly,$4.3018 hourly,$3.1262 hourly
R6IDN Quadruple Extra Large,r6idn.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.5 GHz,950 GB NVMe SSD,Up to 50 Gigabit,$1.5631 hourly,$0.9848 hourly,$0.8781 hourly,$0.3908 hourly
R6IDN Eight Extra Large,r6idn.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.5 GHz,1900 GB NVMe SSD,50 Gigabit,$3.1262 hourly,$1.9695 hourly,$1.3464 hourly,$0.7816 hourly
R6IDN Large,r6idn.large,,Memory optimized,,16 GiB,,2 vCPUs,3.5 GHz,118 GB NVMe SSD,Up to 25 Gigabit,$0.1954 hourly,$0.1231 hourly,$0.0574 hourly,
R6IDN Metal,r6idn.metal,,Memory optimized,,1024 GiB,,128 vCPUs,3.5 GHz,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$12.505 hourly,$7.8781 hourly,$3.5428 hourly,
R6IDN Extra Large,r6idn.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.5 GHz,237 GB NVMe SSD,Up to 30 Gigabit,$0.3908 hourly,$0.2462 hourly,$0.2033 hourly,$0.0977 hourly
R6IN 12xlarge Extra Large,r6in.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.5 GHz,EBS only,75 Gigabit,$4.1839 hourly,$2.6359 hourly,$1.8318 hourly,$1.046 hourly
R6IN 16xlarge Extra Large,r6in.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.5 GHz,EBS only,100 Gigabit,$5.5786 hourly,$3.5145 hourly,$1.5712 hourly,$1.3946 hourly
R6IN 24xlarge,r6in.24xlarge,,Memory optimized,,768 GiB,,96 vCPUs,3.5 GHz,EBS only,150 Gigabit,$8.3678 hourly,$5.2717 hourly,$3.004 hourly,$2.092 hourly
R6IN Double Extra Large,r6in.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.5 GHz,EBS only,Up to 40 Gigabit,$0.6973 hourly,$0.4393 hourly,$0.3335 hourly,$0.1743 hourly
R6IN 32xlarge,r6in.32xlarge,,Memory optimized,,1024 GiB,,128 vCPUs,3.5 GHz,EBS only,200 Gigabit,$11.1571 hourly,$7.029 hourly,$3.3477 hourly,$2.7893 hourly
R6IN Quadruple Extra Large,r6in.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.5 GHz,EBS only,Up to 50 Gigabit,$1.3946 hourly,$0.8786 hourly,$0.6906 hourly,$0.3487 hourly
R6IN Eight Extra Large,r6in.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.5 GHz,EBS only,50 Gigabit,$2.7893 hourly,$1.7573 hourly,$1.2697 hourly,$0.6973 hourly
R6IN Large,r6in.large,,Memory optimized,,16 GiB,,2 vCPUs,3.5 GHz,EBS only,Up to 25 Gigabit,$0.1743 hourly,$0.1098 hourly,$0.0387 hourly,
R6IN Metal,r6in.metal,,Memory optimized,,1024 GiB,,128 vCPUs,3.5 GHz,EBS only,200 Gigabit,$11.1571 hourly,$7.029 hourly,$2.6236 hourly,
R6IN Extra Large,r6in.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.5 GHz,EBS only,Up to 30 Gigabit,$0.3487 hourly,$0.2197 hourly,$0.1664 hourly,$0.0872 hourly
R7IZ 12xlarge Extra Large,r7iz.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,3.9 GHz,EBS only,25 Gigabit,$4.464 hourly,$2.8123 hourly,$1.7942 hourly,$1.116 hourly
R7IZ 16xlarge Extra Large,r7iz.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,3.9 GHz,EBS only,25 Gigabit,$5.952 hourly,$3.7498 hourly,$2.0087 hourly,$1.488 hourly
R7IZ Double Extra Large,r7iz.2xlarge,,Memory optimized,,64 GiB,,8 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.744 hourly,$0.4687 hourly,$0.3425 hourly,$0.186 hourly
R7IZ 32xlarge,r7iz.32xlarge,,Memory optimized,,1024 GiB,,128 vCPUs,3.9 GHz,EBS only,50 Gigabit,$11.904 hourly,$7.4995 hourly,$4.9837 hourly,$2.976 hourly
R7IZ Quadruple Extra Large,r7iz.4xlarge,,Memory optimized,,128 GiB,,16 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$1.488 hourly,$0.9374 hourly,$0.6385 hourly,$0.372 hourly
R7IZ Eight Extra Large,r7iz.8xlarge,,Memory optimized,,256 GiB,,32 vCPUs,3.9 GHz,EBS only,12.5 Gigabit,$2.976 hourly,$1.8749 hourly,$1.3743 hourly,$0.744 hourly
R7IZ Large,r7iz.large,,Memory optimized,,16 GiB,,2 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.186 hourly,$0.1172 hourly,$0.0532 hourly,
R7IZ Metal-16xl,r7iz.metal-16xl,,Memory optimized,,512 GiB,,64 vCPUs,3.9 GHz,EBS only,25 Gigabit,$5.952 hourly,$3.7498 hourly,$1.8145 hourly,
R7IZ Metal-32xl,r7iz.metal-32xl,,Memory optimized,,1024 GiB,,128 vCPUs,3.9 GHz,EBS only,50 Gigabit,$11.904 hourly,$7.4995 hourly,$3.056 hourly,
R7IZ Extra Large,r7iz.xlarge,,Memory optimized,,32 GiB,,4 vCPUs,3.9 GHz,EBS only,Up to 12.5 Gigabit,$0.372 hourly,$0.2344 hourly,$0.1547 hourly,$0.093 hourly
R8GB 12xlarge Extra Large,r8gb.12xlarge,,Memory optimized,,384 GiB,,48 vCPUs,2.8 GHz,EBS only,100 Gigabit,$4.3723 hourly,,$1.5902 hourly,
R8GB 16xlarge Extra Large,r8gb.16xlarge,,Memory optimized,,512 GiB,,64 vCPUs,2.8 GHz,EBS only,133.33 Gigabit,$5.8298 hourly,,$1.5964 hourly,
