Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
M8IDN 96xlarge,m8idn.96xlarge,"8,919,860.627",General purpose,254.0 fps,1536 GiB,7200 MT/s,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$36.6605 hourly,,$7.5076 hourly,
R8I 96xlarge,r8i.96xlarge,"8,925,043.579",Memory optimized,303.0 fps,3072 GiB,7200 MT/s,384 vCPUs,3.9 GHz,EBS only,100 Gigabit,$26.6726 hourly,,$5.8429 hourly,
R8IDB 96xlarge,r8idb.96xlarge,"9,041,676.478",Memory optimized,230.0 fps,3072 GiB,7200 MT/s,384 vCPUs,3.9 GHz,22800 GB (6×3800 GB NVMe SSD),400 Gigabit,$45.0182 hourly,,$16.7527 hourly,
C8I Metal-96xl,c8i.metal-96xl,"9,151,572.927",Compute optimized,277.0 fps,768 GiB,7200 MT/s,384 vCPUs,3.9 GHz,EBS only,100 Gigabit,$17.9923 hourly,,$6.6956 hourly,
M8I Metal-96xl,m8i.metal-96xl,"9,221,902.017",General purpose,253.0 fps,1536 GiB,7200 MT/s,384 vCPUs,3.9 GHz,EBS only,100 Gigabit,$20.3213 hourly,,$5.3187 hourly,
R8I Metal-96xl,r8i.metal-96xl,"9,497,310.332",Memory optimized,172.0 fps,3072 GiB,7200 MT/s,384 vCPUs,3.9 GHz,EBS only,100 Gigabit,$26.6726 hourly,,$5.7434 hourly,
C5AD 12xlarge Extra Large,c5ad.12xlarge,,Compute optimized,,96 GiB,,48 vCPUs,3.3 GHz,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$2.064 hourly,$1.30 hourly,$0.9331 hourly,$0.27 hourly
C5AD 16xlarge Extra Large,c5ad.16xlarge,,Compute optimized,,128 GiB,,64 vCPUs,3.3 GHz,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,$2.752 hourly,$1.734 hourly,$1.0779 hourly,$0.27 hourly
C5AD 24xlarge,c5ad.24xlarge,,Compute optimized,,192 GiB,,96 vCPUs,3.3 GHz,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,$4.128 hourly,$2.601 hourly,$1.5621 hourly,$0.27 hourly
C5AD Double Extra Large,c5ad.2xlarge,,Compute optimized,,16 GiB,,8 vCPUs,3.3 GHz,300 GB NVMe SSD,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.1975 hourly,$0.086 hourly
